tweet_id,favorites,retweets,user_followers,user_favourites,date_time
852912242202992640,8871,1769,8773689,146003,2017-04-14 15:51:39+00:00
852672615818899456,14638,2105,8774395,146004,2017-04-13 23:59:28+00:00
852553447878664193,16011,3387,8773689,146003,2017-04-13 16:05:56+00:00
852311364735569921,32572,9715,8773689,146003,2017-04-13 00:03:59+00:00
852226086759018497,19630,6688,8774395,146004,2017-04-12 18:25:07+00:00
852189679701164033,11274,1554,8773689,146003,2017-04-12 16:00:27+00:00
851861385021730816,0,19,8774395,146004,2017-04-11 18:15:55+00:00
851591660324737024,16023,3406,8773689,146003,2017-04-11 00:24:08+00:00
851464819735769094,23897,6910,8773689,146003,2017-04-10 16:00:07+00:00
851224888060895234,20376,5621,8774395,146004,2017-04-10 00:06:42+00:00
850753642995093505,30360,8966,8774395,146004,2017-04-08 16:54:09+00:00
850380195714523136,12917,2563,8774395,146004,2017-04-07 16:10:12+00:00
850333567704068097,3414,321,8773689,146003,2017-04-07 13:04:55+00:00
850145622816686080,16120,3725,8773689,146003,2017-04-07 00:38:06+00:00
850019790995546112,20156,4790,8774395,146004,2017-04-06 16:18:05+00:00
849776966551130114,30066,7471,8773689,146003,2017-04-06 00:13:11+00:00
849668094696017920,0,4874,8773689,146003,2017-04-05 17:00:34+00:00
849412302885593088,15686,3108,8773689,146003,2017-04-05 00:04:08+00:00
849336543269576704,11294,1869,8774395,146004,2017-04-04 19:03:06+00:00
849051919805034497,41864,8350,8774395,146004,2017-04-04 00:12:06+00:00
848690551926992896,24930,4254,8774395,146004,2017-04-03 00:16:10+00:00
848324959059550208,24465,4552,8773689,146003,2017-04-02 00:03:26+00:00
848213670039564288,8093,721,8773689,146003,2017-04-01 16:41:12+00:00
848212111729840128,16168,2998,8773689,146003,2017-04-01 16:35:01+00:00
847978865427394560,0,3215,8773690,146003,2017-04-01 01:08:10+00:00
847971574464610304,0,426,8774396,146004,2017-04-01 00:39:12+00:00
847962785489326080,23286,5015,8774396,146004,2017-04-01 00:04:17+00:00
847842811428974592,5394,1316,8773690,146003,2017-03-31 16:07:33+00:00
847617282490613760,6929,410,8773690,146003,2017-03-31 01:11:22+00:00
847606175596138505,18611,3384,8774396,146004,2017-03-31 00:27:14+00:00
847251039262605312,20337,4264,8773691,146003,2017-03-30 00:56:03+00:00
847157206088847362,19721,5779,8774397,146004,2017-03-29 18:43:12+00:00
847116187444137987,21307,3142,8773691,146003,2017-03-29 16:00:12+00:00
846874817362120707,19939,3885,8773691,146003,2017-03-29 00:01:05+00:00
846514051647705089,44312,11439,8773691,146003,2017-03-28 00:07:32+00:00
846505985330044928,14009,3041,8773691,146003,2017-03-27 23:35:28+00:00
846153765933735936,31411,8956,8774397,146004,2017-03-27 00:15:53+00:00
846139713627017216,30843,9917,8774397,146004,2017-03-26 23:20:02+00:00
846042936437604353,15885,2835,8774397,146004,2017-03-26 16:55:29+00:00
845812042753855489,29063,8623,8773691,146003,2017-03-26 01:38:00+00:00
845677943972139009,25053,4750,8773691,146003,2017-03-25 16:45:08+00:00
845397057150107648,7599,1790,8774397,146004,2017-03-24 22:08:59+00:00
845306882940190720,23226,5344,8773691,146003,2017-03-24 16:10:40+00:00
845098359547420673,0,7585,8773691,146003,2017-03-24 02:22:04+00:00
844979544864018432,13566,2537,8774397,146004,2017-03-23 18:29:57+00:00
844973813909606400,15011,3165,8773692,146003,2017-03-23 18:07:10+00:00
844580511645339650,16395,3101,8774398,146004,2017-03-22 16:04:20+00:00
844223788422217728,13593,2183,8774398,146004,2017-03-21 16:26:50+00:00
843981021012017153,15134,2925,8773693,146003,2017-03-21 00:22:10+00:00
843856843873095681,21390,4588,8774399,146004,2017-03-20 16:08:44+00:00
843604394117681152,16827,2728,8774399,146004,2017-03-19 23:25:35+00:00
843235543001513987,21459,5991,8774399,146004,2017-03-18 22:59:54+00:00
842846295480000512,15250,3621,8773693,146003,2017-03-17 21:13:10+00:00
842765311967449089,6714,1277,8774399,146004,2017-03-17 15:51:22+00:00
842535590457499648,18060,3489,8774399,146004,2017-03-17 00:38:32+00:00
842163532590374912,24413,5764,8774399,146004,2017-03-16 00:00:07+00:00
842115215311396866,13954,3019,8774399,146004,2017-03-15 20:48:07+00:00
841833993020538882,0,15035,8773693,146003,2017-03-15 02:10:39+00:00
841680585030541313,25696,7780,8773693,146003,2017-03-14 16:01:03+00:00
841439858740625411,12644,3675,8773693,146003,2017-03-14 00:04:30+00:00
841320156043304961,19786,5485,8774399,146004,2017-03-13 16:08:50+00:00
841314665196081154,15828,4641,8773693,146003,2017-03-13 15:47:01+00:00
841077006473256960,22859,5291,8774399,146004,2017-03-13 00:02:39+00:00
840761248237133825,0,1764,8774398,146004,2017-03-12 03:07:56+00:00
840728873075638272,0,16107,8773692,146003,2017-03-12 00:59:17+00:00
840698636975636481,174,2,8774398,146004,2017-03-11 22:59:09+00:00
840696689258311684,12291,972,8773692,146003,2017-03-11 22:51:24+00:00
840632337062862849,9009,1764,8774398,146004,2017-03-11 18:35:42+00:00
840370681858686976,16458,4536,8774398,146004,2017-03-11 01:15:58+00:00
840268004936019968,19274,5729,8774398,146004,2017-03-10 18:27:58+00:00
839990271299457024,13430,2276,8773692,146003,2017-03-10 00:04:21+00:00
839549326359670784,27498,7747,8773692,146003,2017-03-08 18:52:12+00:00
839290600511926273,0,144,8773692,146003,2017-03-08 01:44:07+00:00
839239871831150596,27163,6530,8773692,146003,2017-03-07 22:22:32+00:00
838952994649550848,19680,4005,8773692,146003,2017-03-07 03:22:35+00:00
838921590096166913,11187,2068,8773692,146003,2017-03-07 01:17:48+00:00
838916489579200512,0,35,8774398,146004,2017-03-07 00:57:32+00:00
838831947270979586,0,11011,8774398,146004,2017-03-06 19:21:35+00:00
838561493054533637,10961,1339,8774398,146004,2017-03-06 01:26:54+00:00
